name_0,iso,iso_num,name_1,ccaps_id,year,source,website,pnar,pnar_se,pnar_sz,pgar,pgar_se,pgar_sz,snar,snar_se,snar_sz,sgar,sgar_se,sgar_sz,lit15up,lit15up_se,lit15up_sz,lit1524,lit1524_se,lit1524_sz,lit1519,lit1519_se,lit1519_sz,lit2549,lit2549_se,lit2549_sz,iwatpop,iwatpop_se,iwatpop_sz,isanpop,isanpop_se,isanpop_sz,elecpop,elecpop_se,elecpop_sz,radpop,radpop_se,radpop_sz,tvpop,tvpop_se,tvpop_sz,rdtvpop,rdtvpop_se,rdtvpop_sz,iwathh,iwathh_se,iwathh_sz,isanhh,isanhh_se,isanhh_sz,elechh,elechh_se,elechh_sz,radhh,radhh_se,radhh_sz,tvhh,tvhh_se,tvhh_sz,rdtvhh,rdtvhh_se,rdtvhh_sz
"Guinea","GIN",324,"Mamou",324007,2005,"DHS","www.measuredhs.com",35.68786,2.775632,805,65.74509,5.203654,809,10.96534,2.399546,632,18.81997,2.9475,634,15.59236,2.235079,1095,37.90026,4.975077,339,40.26167,6.402241,221,4.976739,.9790921,674,22.08219,2.563898,3952,20.13071,2.03075,3960,8.677139,1.740951,3966,66.42401,2.695194,3966,3.847894,.8150261,3955,66.62624,2.692517,3970,21.79191,2.535748,801,18.26556,1.881602,801,6.907477,1.073374,803,60.55234,2.896297,803,2.915556,.6917946,802,60.60426,2.905226,804
"Guinea","GIN",324,"Nzerekore",324008,2005,"DHS","www.measuredhs.com",44.48199,3.985507,1045,79.50619,6.712456,1045,14.23465,2.202436,869,26.10892,4.00723,872,24.119,3.047971,1582,37.78048,4.530143,573,46.47232,5.399994,336,14.83023,2.174016,947,20.19983,3.471682,5273,22.60515,3.002652,5273,2.151279,.9173317,5224,53.11053,3.100732,5238,4.319648,2.024979,5253,52.74832,3.140564,5273,19.32636,3.303275,800,21.23304,2.815291,800,1.892612,.7762867,792,49.36803,2.966981,796,3.128587,1.24901,797,49.07799,3.002019,800
"Kenya","KEN",404,"Central",404001,2009,"DHS","www.measuredhs.com",90.32566,1.041608,827,118.1754,2.386029,830,26.86401,3.807601,321,59.52443,6.014987,321,94.71529,.7986581,1316,96.69784,.9516174,483,96.27872,1.705222,241,93.83669,1.009964,811,67.00774,4.819099,4052,56.33669,3.114457,4052,20.83048,4.138686,4050,88.17621,1.091139,4052,39.53062,3.996545,4042,90.2059,1.047311,4052,69.08897,4.567245,1134,57.02301,2.974175,1134,22.29434,3.883104,1133,86.16166,1.015437,1134,37.26349,3.738482,1131,87.5418,1.013148,1134
"Kenya","KEN",404,"Coast",404002,2009,"DHS","www.measuredhs.com",71.51366,3.478787,1126,102.8977,4.416019,1126,17.294,3.888799,430,30.82954,5.100158,430,79.00956,3.530187,1569,82.56488,2.966924,631,89.76456,3.451999,313,76.66759,4.476728,909,59.9368,5.615795,5001,51.52604,4.820062,5001,26.63975,4.250577,5001,63.07154,2.885273,5001,26.71675,3.522731,4992,64.9344,2.981123,5001,65.16767,4.70681,1212,61.19968,3.915971,1212,32.39066,4.299566,1212,65.89803,2.350097,1212,30.09407,3.042365,1210,68.39871,2.404144,1212
"Kenya","KEN",404,"Eastern",404003,2009,"DHS","www.measuredhs.com",82.42089,1.192422,1322,117.0339,1.833112,1323,17.28038,2.247335,438,48.96889,5.124985,440,89.00223,1.382385,1561,94.04925,1.494284,620,96.2654,1.28551,360,85.62345,1.615009,906,50.01246,4.522005,5319,34.36198,3.577347,5319,7.271704,2.48667,5316,72.89616,2.000364,5319,18.92093,3.000786,5304,74.4793,2.10227,5319,51.40456,4.107271,1237,37.54011,3.615216,1237,9.187134,2.679874,1236,70.90021,2.010345,1237,19.85399,2.900289,1233,72.35857,1.981305,1237
"Kenya","KEN",404,"Nairobi",404004,2009,"DHS","www.measuredhs.com",90.80136,1.665691,421,104.5347,3.042872,423,52.84267,6.113679,144,90.37482,12.06762,144,96.29728,1.198169,1341,95.55085,1.402696,477,95.48872,2.144049,162,96.72031,1.248652,840,98.50666,.5871965,3191,94.3117,1.851476,3191,88.94718,3.012943,3191,89.0396,1.648474,3191,80.103,3.75741,3191,93.59339,1.543559,3191,98.21798,.6626974,1105,93.61168,2.122907,1105,88.60166,2.968671,1105,88.32487,1.73287,1105,74.30198,4.213829,1105,92.47506,1.727434,1105
"Kenya","KEN",404,"North-Eastern",404005,2009,"DHS","www.measuredhs.com",53.12991,3.76311,1019,78.23322,4.467874,1023,9.900769,3.006314,322,20.59777,4.69253,322,31.48962,3.192084,810,52.54052,3.649185,330,61.89363,4.503407,192,17.88963,3.837492,460,69.24625,6.818838,3347,28.00216,4.069174,3347,9.482643,2.870656,3347,31.78425,3.873032,3347,6.220039,2.071204,3340,32.43521,4.069582,3347,69.383,6.88972,633,30.52953,4.613707,633,11.56384,4.113729,633,32.27712,3.775816,633,7.410137,2.996086,632,33.105,4.136191,633
"Kenya","KEN",404,"Nyanza",404006,2009,"DHS","www.measuredhs.com",86.18339,1.104446,1304,126.6389,2.367322,1304,19.26303,2.324079,588,44.63929,4.184593,589,90.19627,1.29059,1817,94.9296,.7542768,827,95.80627,1.104758,448,86.34383,2.072164,961,52.94565,4.704547,5883,32.39781,3.484372,5883,11.82642,3.511302,5876,78.31275,1.758595,5883,22.21122,3.661963,5880,78.9782,1.856551,5883,52.9083,4.37742,1313,31.94989,3.423204,1313,13.46494,3.928185,1312,74.27761,1.871435,1313,20.58308,3.532529,1312,75.17138,1.994417,1313
"Kenya","KEN",404,"Rift Valley",404007,2009,"DHS","www.measuredhs.com",72.08656,3.525509,1590,102.1904,5.285488,1596,14.47898,3.381966,527,42.75079,5.934342,527,85.29221,2.604602,1725,90.74223,2.240957,716,92.12414,1.829644,371,81.90331,3.109794,986,53.64209,5.777512,6174,39.72474,5.646369,6174,16.09246,4.616569,6174,71.47049,3.009509,6174,22.67542,3.424811,6174,72.21123,2.98892,6174,57.64816,6.558921,1356,43.86732,6.083405,1356,20.95143,6.490968,1356,70.65966,2.478765,1356,23.23006,4.04806,1356,71.59368,2.450688,1356
"Kenya","KEN",404,"Western",404008,2009,"DHS","www.measuredhs.com",80.60963,1.376861,1203,129.6408,5.590779,1203,10.42466,1.795687,454,34.04578,3.241239,455,85.51304,1.507985,1452,90.71291,1.209049,643,93.81729,1.527464,357,80.90907,2.872285,788,74.50188,5.248238,4903,49.21931,3.376106,4895,4.582542,1.476391,4902,74.91309,1.527294,4903,20.88058,2.131439,4903,76.07154,1.627675,4903,74.31248,4.499358,1060,49.37865,3.449401,1059,4.849086,1.487511,1059,72.09898,1.575155,1060,17.99237,1.829052,1060,73.1943,1.667598,1060
